CacheSize,BlockSize,Associativity,WritePolicy,WriteMissPolicy,EvictPolicy,TotalReads,ReadMisses,TotalWrites,WriteMisses,TotalLatency
2048,32,4,--WriteBack,--NoWriteAllocate,--LRU,112576,3498,65042,4447,2551794
2048,32,4,--WriteThrough,--WriteAllocate,--LRU,112576,2910,65042,1276,15763014
2048,32,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,3498,65042,4447,15611654
2048,32,8,--WriteBack,--WriteAllocate,--LRU,112576,2697,65042,1191,1771454
2048,32,8,--WriteBack,--NoWriteAllocate,--LRU,112576,3308,65042,4142,2431894
2048,32,8,--WriteThrough,--WriteAllocate,--LRU,112576,2697,65042,1191,15697454
2048,32,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,3308,65042,4142,15569854
2048,32,16,--WriteBack,--WriteAllocate,--LRU,112576,2714,65042,1178,1767934
2048,32,16,--WriteBack,--NoWriteAllocate,--LRU,112576,3306,65042,4135,2423534
2048,32,16,--WriteThrough,--WriteAllocate,--LRU,112576,2714,65042,1178,15698334
2048,32,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,3306,65042,4135,15569414
2048,32,32,--WriteBack,--WriteAllocate,--LRU,112576,2682,65042,1154,1747694
2048,32,32,--WriteBack,--NoWriteAllocate,--LRU,112576,3260,65042,4112,2401534
2048,32,32,--WriteThrough,--WriteAllocate,--LRU,112576,2682,65042,1154,15686014
2048,32,32,--WriteThrough,--NoWriteAllocate,--LRU,112576,3260,65042,4112,15559294
2048,64,1,--WriteBack,--WriteAllocate,--LRU,112576,9649,65042,2688,4253934
2048,64,1,--WriteBack,--NoWriteAllocate,--LRU,112576,10587,65042,9934,5688554
2048,64,1,--WriteThrough,--WriteAllocate,--LRU,112576,9649,65042,2688,17556234
2048,64,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,10587,65042,9934,17171234
2048,64,2,--WriteBack,--WriteAllocate,--LRU,112576,5105,65042,1316,2478754
2048,64,2,--WriteBack,--NoWriteAllocate,--LRU,112576,5194,65042,6437,3431354
2048,64,2,--WriteThrough,--WriteAllocate,--LRU,112576,5105,65042,1316,16254714
2048,64,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,5194,65042,6437,15984774
2048,64,4,--WriteBack,--WriteAllocate,--LRU,112576,2746,65042,887,1656834
2048,64,4,--WriteBack,--NoWriteAllocate,--LRU,112576,3055,65042,4410,2402634
2048,64,4,--WriteThrough,--WriteAllocate,--LRU,112576,2746,65042,887,15641354
2048,64,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,3055,65042,4410,15514194
2048,64,8,--WriteBack,--WriteAllocate,--LRU,112576,2562,65042,829,1576534
2048,64,8,--WriteBack,--NoWriteAllocate,--LRU,112576,2930,65042,4158,2305174
2048,64,8,--WriteThrough,--WriteAllocate,--LRU,112576,2562,65042,829,15588114
2048,64,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,2930,65042,4158,15486694
2048,64,16,--WriteBack,--WriteAllocate,--LRU,112576,2356,65042,743,1488314
2048,64,16,--WriteBack,--NoWriteAllocate,--LRU,112576,2763,65042,3969,2217394
2048,64,16,--WriteThrough,--WriteAllocate,--LRU,112576,2356,65042,743,15523874
2048,64,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,2763,65042,3969,15449954
2048,64,32,--WriteBack,--WriteAllocate,--LRU,112576,2364,65042,740,1485894
2048,64,32,--WriteBack,--NoWriteAllocate,--LRU,112576,2734,65042,3907,2194954
2048,64,32,--WriteThrough,--WriteAllocate,--LRU,112576,2364,65042,740,15524974
2048,64,32,--WriteThrough,--NoWriteAllocate,--LRU,112576,2734,65042,3907,15443574
2048,128,1,--WriteBack,--WriteAllocate,--LRU,112576,12684,65042,2879,5206754
2048,128,1,--WriteBack,--NoWriteAllocate,--LRU,112576,13312,65042,11073,6711114
2048,128,1,--WriteThrough,--WriteAllocate,--LRU,112576,12684,65042,2879,18265954
2048,128,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,13312,65042,11073,17770734
2048,128,2,--WriteBack,--WriteAllocate,--LRU,112576,6449,65042,1091,2750674
2048,128,2,--WriteBack,--NoWriteAllocate,--LRU,112576,6500,65042,6264,3724394
2048,128,2,--WriteThrough,--WriteAllocate,--LRU,112576,6449,65042,1091,16500894
2048,128,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,6500,65042,6264,16272094
2048,128,4,--WriteBack,--WriteAllocate,--LRU,112576,3086,65042,763,1680814
